study_id,ex_id,con_id,out_id,es_id,shared_control,id_notes,title,doi,publish_in,outcome_id_notes,sp_latin,sp_common,strain,dam_age,dam_age_notes,gest_stage_ex,gest_stage_ex_notes,exposure_span_d,exposure_type,exposure_session_duration_h,ex_session_duration_notes,noise_type,noise_type_2,loudness_dB,frequency_Hz,control_conditions,control_loudness,control_notes,offspring_sex,offspring_age_d,offspring_age_notes,experimental_procedures,experimental_procedures_notes,outcome_type,assay_type,assay_type_notes,measurement_variable,data_type,data_units,measurement_timing,data_source,data_file,c_a_id,ex_a_id,comparison,comparison_structure,higher_better,higher_better_notes,higher_better_notes,c_mean,c_sd,c_n,c_se,c_ci,ex_mean,ex_sd,ex_n,ex_se,ex_ci,stat_comment,general_comment,c_median,c_q1,c_q3,ex_median,ex_q1,ex_q3,checked_ML,checked_ML_comments,,corrections_notes_AL
uygur_2010_aphyhun,ex001,con001,out001,es001,Yes,One control and one treatment ,Effects of chronic stress on cognitive functions and anxiety related behaviors in rats,10.1556/APhysiol.97.2010.3.6,Acta Physiologica Hungarica,Only one assay for anxiety,Rattus norvegicus,albino rat,Sprague-Dawley,,not reported,late,day 14-21,8,Intermitent,0.66,45 min,White noise,Audible,100,,Unclear,,"They carried the cages to the other room too, but without any noise exposure",male,70,70 days of age ,none,,Anxiety,Defensive withdrawal test (DWT),Latency to exit the dark box with all four paws for the first time,Latency to exit the dark box,Time,s,Light phase,Table II,uygur_2010_table2,CON_lat,PSN_lat,con_psn_lat,Independent,No,Positive,Not specified,90.9,,9,58.69,,137,,10,66.9,,,,,,,,,,yes,,,
uygur_2010_aphyhun,ex001,con001,out002,es002,Yes,One control and one treatment ,Effects of chronic stress on cognitive functions and anxiety related behaviors in rats,10.1556/APhysiol.97.2010.3.6,Acta Physiologica Hungarica,Only one assay for anxiety,Rattus norvegicus,albino rat,Sprague-Dawley,,not reported,late,day 14-21,8,Intermitent,0.66,45 min,White noise,Audible,100,,Unclear,,"They carried the cages to the other room too, but without any noise exposure",male,70,70 days of age ,none,,Anxiety,Defensive withdrawal test (DWT),,Exits from dark box,Count,Count,Light phase,Table II,uygur_2010_table2,CON_ex,PSN_ex,con_psn_ex,Independent,Yes,Negative,Not specified,4.3,,9,0.82,,3.67,,10,0.73,,,,,,,,,,yes,,,
uygur_2010_aphyhun,ex001,con001,out003,es003,Yes,One control and one treatment ,Effects of chronic stress on cognitive functions and anxiety related behaviors in rats,10.1556/APhysiol.97.2010.3.6,Acta Physiologica Hungarica,Only one assay for anxiety,Rattus norvegicus,albino rat,Sprague-Dawley,,not reported,late,day 14-21,8,Intermitent,0.66,45 min,White noise,Audible,100,,Unclear,,"They carried the cages to the other room too, but without any noise exposure",male,70,70 days of age ,none,,Anxiety,Defensive withdrawal test (DWT),,Time in open field,Time,s,Light phase,Table II,uygur_2010_table2,CON_oat,PSN_oat,con_psn_oat,Independent,Yes,Negative,Not specified,101.74,,9,25.25,,66.67,,10,16.87,,,,,,,,,,yes,,,
barzegar_2014_hippo,ex002,con002,out004,es004,Yes,They tested 1 h daily exposure duration,Effects of chronic stress on cognitive functions and anxiety related behaviors in rats,10.1002/hipo.22363,Hippocampus,Only one assay for anxiety,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,at the third trimester,7,Intermitent,1,h,White noise,Audible,95,,Unclear,,Control pregnant animals was kept in the noise chamber for the same period of time without noise exposure,male,46,42-50 daysof age ,none,,Anxiety,Elevated Plus Maze (EPM),"Evaluated spatial anxiety in rats. As a convention, an entry was defined as having all four paws in the arm.",Entries into open arms (OAE),Percentage,%,Not reported,Figure 2A,barzegar_2014_figure2,CON_oae,N1_oae,con_n1_oae,Independent,Yes,Negative,Not specified,32.07,10.96,10,3.47,,33.93,19.61,10,6.2,,,,,,,,,,yes,,,
barzegar_2014_hippo,ex002,con002,out005,es005,Yes,They tested 1 h daily exposure duration,"Prenatal Exposure to Noise Stress: Anxiety, Impaired Spatial Memory, and Deteriorated Hippocampal Plasticity in Postnatal Life",10.1002/hipo.22363,Hippocampus,Only one assay for anxiety,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,at the third trimester,7,Intermitent,1,h,White noise,Audible,95,,Unclear,,Control pregnant animals was kept in the noise chamber for the same period of time without noise exposure,male,46,42-50 daysof age ,none,,Anxiety,Elevated Plus Maze (EPM),Evaluated spatial anxiety in rats ,Time in open arms (OAT),Percentage,%,Not reported,Figure 2B,barzegar_2014_figure2,CON_oat,N1_oat,con_n1_oat,Independent,Yes,Negative,Not specified,30.02,6.41,10,2.03,,30.78,4.33,10,1.37,,,,,,,,,,yes,,,
barzegar_2014_hippo,ex003,con002,out004,es006,Yes,They tested 2 h daily exposure duration,"Prenatal Exposure to Noise Stress: Anxiety, Impaired Spatial Memory, and Deteriorated Hippocampal Plasticity in Postnatal Life",10.1002/hipo.22363,Hippocampus,Only one assay for anxiety,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,at the third trimester,7,Intermitent,2,h,White noise,Audible,95,,Unclear,,Control pregnant animals was kept in the noise chamber for the same period of time without noise exposure,male,46,42-50 daysof age ,none,,Anxiety,Elevated Plus Maze (EPM),Evaluated spatial anxiety in rats ,Entries into open arms (OAE),Percentage,%,Not reported,Figure 2A,barzegar_2014_figure2,CON_oae,N2_oae,con_n2_oae,Independent,Yes,Negative,Not specified,32.07,10.96,10,3.47,,14.27,8.43,10,8.43,,,,,,,,,,yes,,,
barzegar_2014_hippo,ex003,con002,out005,es007,Yes,They tested 2 h daily exposure duration,"Prenatal Exposure to Noise Stress: Anxiety, Impaired Spatial Memory, and Deteriorated Hippocampal Plasticity in Postnatal Life",10.1002/hipo.22363,Hippocampus,Only one assay for anxiety,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,at the third trimester,7,Intermitent,2,h,White noise,Audible,95,,Unclear,,Control pregnant animals was kept in the noise chamber for the same period of time without noise exposure,male,46,42-50 daysof age ,none,,Anxiety,Elevated Plus Maze (EPM),Evaluated spatial anxiety in rats ,Time in open arms (OAT),Percentage,%,Not reported,Figure 2B,barzegar_2014_figure2,CON_oat,N2_oat,con_n2_oat,Independent,Yes,Negative,Not specified,30.02,6.41,10,2.03,,21.53,5.72,10,1.81,,,,,,,,,,yes,,,
barzegar_2014_hippo,ex004,con002,out004,es008,Yes,They tested 4 h daily exposure duration,"Prenatal Exposure to Noise Stress: Anxiety, Impaired Spatial Memory, and Deteriorated Hippocampal Plasticity in Postnatal Life",10.1002/hipo.22363,Hippocampus,Only one assay for anxiety,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,at the third trimester,7,Intermitent,4,h,White noise,Audible,95,,Unclear,,Control pregnant animals was kept in the noise chamber for the same period of time without noise exposure,male,46,42-50 daysof age ,none,,Anxiety,Elevated Plus Maze (EPM),Evaluated spatial anxiety in rats ,Entries into open arms (OAE),Percentage,%,Not reported,Figure 2A,barzegar_2014_figure2,CON_oae,N4_oae,con_n4_oae,Independent,Yes,Negative,Not specified,32.07,10.96,10,3.47,,15.33,8.85,10,2.8,,,,,,,,,,yes,,,
barzegar_2014_hippo,ex004,con002,out005,es009,Yes,They tested 4 h daily exposure duration,"Prenatal Exposure to Noise Stress: Anxiety, Impaired Spatial Memory, and Deteriorated Hippocampal Plasticity in Postnatal Life",10.1002/hipo.22363,Hippocampus,Only one assay for anxiety,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,at the third trimester,7,Intermitent,4,h,White noise,Audible,95,,Unclear,,Control pregnant animals was kept in the noise chamber for the same period of time without noise exposure,male,46,42-50 daysof age ,none,,Anxiety,Elevated Plus Maze (EPM),Evaluated spatial anxiety in rats ,Time in open arms (OAT),Percentage,%,Not reported,Figure 2B,barzegar_2014_figure2b,CON_oat,N4_oat,con_n4_oat,Independent,Yes,Negative,Not specified,30.02,6.41,10,2.03,,16.92,8.31,10,2.63,,,,,,,,,,yes,,,
hassanvand_2012_phyphar,ex005,con003,out006,es010,Yes,Only one experiment,"Alterations in dopamine related behavior of the offspring of pregnant Wistar
rats exposed to noise pollution stress",http://ppj.phypha.ir/article-1-805-en.html,Physiology and Pharmacology,Only one assay ,Rattus norvegicus,brown rat,Wistar rat,,not reported 200g,"early, mid",day 1-14,14,Intermitent,0.083,15 min,Traffic,Audible,125,,Unclear,,"Environment without noise""محیط بی سر و صدا""",male,90,3 months,none,They used a car alarm ,Anxiety,Open Field Test (OFT),Locomotor and exploratory behaviour,Sniffing,Count,Count,Not reported,Figure 2,hassanvand_2012_phyphar_Figure2,Control_sniff,Expn_sniff,control_exp_sniff,Independent,Yes,Negative,Not specified,41.568,2.7625,6,1.1278,,35.5825,2.916,6,1.1904,,,"non-English language, ask native speaker",,,,,,,yes - recheck!,whiskers in the plot extracted as SD values but more likely they are SE values,,"Done! re-extracted, I swapped the selection in meta-digitise"
hassanvand_2012_phyphar,ex005,con003,out007,es011,Yes,Only one experiment,"Alterations in dopamine related behavior of the offspring of pregnant Wistar
rats exposed to noise pollution stress",http://ppj.phypha.ir/article-1-805-en.html,Physiology and Pharmacology,Only one assay ,Rattus norvegicus,brown rat,Wistar rat,,not reported 200g,"early, mid",day 1-14,14,Intermitent,0.083,15 min,Traffic,Audible,125,,Unclear,,"Environment without noise""محیط بی سر و صدا""",male,90,3 months,none,They used a car alarm ,Anxiety,Open Field Test (OFT),Locomotor and exploratory behaviour,Rearing frequency,Count,Count,Not reported,Figure 2,hassanvand_2012_phyphar_Figure2,Control_rear,Exp_rear,control_exp_rear,Independent,Yes,Negative,Not specified,13.943,1.8417,6,0.7519,,20.6957,2.4556,6,1.0025,,,"non-English language, ask native speaker",,,,,,,yes - recheck!,whiskers in the plot extracted as SD values but more likely they are SE values,,"Done! re-extracted, I swapped the selection in meta-digitise"
hassanvand_2012_phyphar,ex005,con003,out008,es012,Yes,Only one experiment,"Alterations in dopamine related behavior of the offspring of pregnant Wistar
rats exposed to noise pollution stress",http://ppj.phypha.ir/article-1-805-en.html,Physiology and Pharmacology,Only one assay ,Rattus norvegicus,brown rat,Wistar rat,,not reported 200g,"early, mid",day 1-14,14,Intermitent,0.083,15 min,Traffic,Audible,125,,Unclear,,"Environment without noise""محیط بی سر و صدا""",male,90,3 months,none,They used a car alarm ,Anxiety,Open Field Test (OFT),Locomotor and exploratory behaviour,Sections crossed,Count,Count,Not reported,Figure 2,hassanvand_2012_phyphar_Figure2,Control_loco,Exp_loco,control_exp_loco,Independent,Yes,Negative,Not specified,24.686,4.4507,6,1.817,,28.5228,2.609,6,1.0651,,,"non-English language, ask native speaker",,,,,,,yes - recheck!,whiskers in the plot extracted as SD values but more likely they are SE values,,"Done! re-extracted, I swapped the selection in meta-digitise"
arjunan_2023_stress,ex006,con004,out009,es013,Yes,"3 experimental groups: Early gestational, late gestational and full-term gestational","Impacts of Maternal Noise Exposure on Risk of Stillbirth
and Oxidative Stress-Induced Neurobehavioral Changes
in Offspring",10.3390/stresses3030037,Stresses,,Rattus norvegicus,albino rat,Wistar albino rat,,not reported 160-180g,"early, mid",day 1-10,10,Intermitent,4,h,Ultrasound,Ultrasound,100,"0-2,000",Unclear,,,male,45,,none,,Anxiety,Open Field Test (OFT),locomotion and emotional status,Time in central square,Time,s,Not reported,Figure 3B,arjunan_2023_stress_fig3B_cen,Con_cen,Egs_cen,con_egs_cen,Independent,Yes,Negative,"reduced time spent in the central square indicated
the fear and anxiety-like behavior",225.39,25.92,6,10.58,,160.21,18.85,6,7.69,,,,,,,,,,yes - recheck!,"legend says ""The data represent the mean ± SD"", but the values look like SE",,"Done! re-extracted, I swapped the selection in meta-digitise"
arjunan_2023_stress,ex006,con004,out010,es014,Yes,"3 experimental groups: Early gestational, late gestational and full-term gestational","Impacts of Maternal Noise Exposure on Risk of Stillbirth
and Oxidative Stress-Induced Neurobehavioral Changes
in Offspring",10.3390/stresses3030037,Stresses,,Rattus norvegicus,albino rat,Wistar albino rat,,not reported 160-180g,"early, mid",day 1-10,10,Intermitent,4,h,Ultrasound,Ultrasound,100,"0-2,000",Unclear,,,male,45,,none,,Anxiety,Open Field Test (OFT),locomotion and emotional status,Time in peripheral square,Time,s,Not reported,Figure 3B,arjunan_2023_stress_fig3B_per,Con_per,Egs_per,con_egs_per,Independent,No,Positive,"reduced time spent in the central square indicated
the fear and anxiety-like behavior",71.74,28.21,6,11.52,,132.86,19.48,6,7.95,,,,,,,,,,yes - recheck!,"legend says ""The data represent the mean ± SD"", but the values look like SE",,"Done! re-extracted, I swapped the selection in meta-digitise"
arjunan_2023_stress,ex007,con004,out009,es015,Yes,"3 experimental groups: Early gestational, late gestational and full-term gestational","Impacts of Maternal Noise Exposure on Risk of Stillbirth
and Oxidative Stress-Induced Neurobehavioral Changes
in Offspring",10.3390/stresses3030037,Stresses,,Rattus norvegicus,albino rat,Wistar albino rat,,not reported 160-180g,late,day 11-21,11,Intermitent,4,h,Ultrasound,Ultrasound,100,"0-2,000",Unclear,,,male,45,,none,,Anxiety,Open Field Test (OFT),locomotion and emotional status,Time in central square,Time,s,Not reported,Figure 3B,arjunan_2023_stress_fig3B_cen,Con_cen,Lgs_cen,con_lgs_cen,Independent,Yes,Negative,"reduced time spent in the central square indicated
the fear and anxiety-like behavior",225.39,25.92,6,10.58,,124.08,11.78,6,4.81,,,,,,,,,,yes - recheck!,"legend says ""The data represent the mean ± SD"", but the values look like SE",,"Done! re-extracted, I swapped the selection in meta-digitise"
